age,exp,inc,family,edu,mortgage,ccAvg,securities,cd,online,cc,infoReq,loan
NA,1,49,4,1,0,20.07520605,1,0,0,0,Email,0
45,19,34,3,1,0,18.87936727,1,0,0,0,Email,0
39,15,11,1,1,0,13.07459566,0,0,0,0,Email,0
35,9,100,1,2,0,35.06954666,0,0,0,0,Email,0
35,8,45,4,2,0,13.0445928,0,0,0,1,Email,0
37,13,29,4,2,155,4.949429171,0,0,1,0,Email,0
53,27,72,NA,2,0,18.86392662,0,0,1,0,Email,0
50,24,22,1,3,0,3.929490563,0,0,0,1,Ph,0
35,10,81,3,2,104,6.941749591,0,0,1,0,Ph,0
34,9,180,1,3,0,104.5954966,0,0,0,0,Ph,1
65,39,105,4,3,0,30.78888153,0,0,0,0,Ph,0
29,5,45,3,2,0,2.00957747,0,0,1,0,Ph,0
48,23,114,2,NA,0,49.55487638,1,0,0,0,Email,0
59,32,40,4,2,NA,31.89196623,0,0,1,0,Email,0
67,41,112,1,1,0,25.92568078,1,0,0,0,Email,0
60,30,22,1,3,0,19.25371805,0,0,1,1,Email,0
38,14,130,4,3,134,61.89438217,0,0,0,0,Ph,1
42,18,81,4,1,0,31.51252172,0,0,0,0,Ph,0
46,21,193,2,3,0,97.62623443,0,0,0,0,Ph,1
55,28,21,1,2,0,6.109516542,1,0,0,1,Email,0
56,NA,25,4,2,111,11.97671838,0,0,1,0,Ph,0
57,27,63,3,3,0,26.09603879,0,0,1,0,Ph,0
29,5,62,1,1,NA,15.14902301,0,0,1,0,Email,0
44,18,43,2,1,163,9.044661176,1,0,NA,0,Email,0
36,11,152,2,1,159,51.46377026,0,0,0,NA,Email,0
43,19,29,3,1,97,5.943078284,0,0,1,0,Email,0
40,16,NA,4,3,0,3.021507407,0,0,0,0,Email,0
46,20,158,1,1,0,30.6904175,0,0,1,1,Ph,0
56,30,48,1,3,0,27.71602089,0,0,1,1,Ph,0
38,13,119,1,2,0,43.72309422,0,NA,1,1,Ph,1
59,35,35,1,3,122,15.0367942,0,0,1,0,Ph,0
NA,16,29,1,2,0,26.00991556,0,0,1,0,Ph,0
53,28,41,2,3,193,7.031616454,0,0,0,0,Ph,0
30,6,NA,3,3,0,11.92433743,0,0,0,0,Email,0
31,5,50,4,3,0,23.8465186,0,0,1,0,Ph,0
48,24,81,3,1,0,9.064960583,0,0,0,0,Email,0
59,35,121,1,1,0,37.92561066,0,0,0,1,Ph,0
51,25,71,1,3,198,17.79318115,0,0,0,0,Email,0
42,18,141,3,3,0,66.2587601,1,1,1,0,Ph,1
38,13,80,4,3,285,8.981374352,0,0,1,0,Email,0
57,32,84,3,3,0,20.03304841,1,0,0,0,Email,0
34,9,60,3,1,0,28.79402567,0,0,0,0,Ph,0
32,7,NA,4,2,412,14.0098055,0,0,1,0,Ph,1
39,15,45,1,1,NA,8.99502845,0,NA,1,0,Email,0
46,20,104,1,1,0,75.07949014,0,NA,1,1,Ph,0
57,31,52,4,1,0,32.01765875,0,0,0,1,Ph,0
39,14,43,3,2,153,9.111754546,0,0,1,0,Ph,0
37,12,194,4,3,211,3.023375903,1,1,1,1,Ph,1
56,26,81,2,3,0,58.43147748,0,0,0,1,Email,0
40,16,49,NA,1,0,23.63619535,0,0,0,1,Email,0
